id,job_title,title,company,location,created,description,salary_min,salary_max,contract_type,contract_time,apply_link
59,Applied Data Scientist,Applied Data Scientist,dunnhumby,"London, UK",2025-10-07T22:39:35Z,"dunnhumby is the global leader in Customer Data Science, empowering businesses everywhere to compete and thrive in the modern data-driven economy. We always put the Customer First. Our mission: to enable businesses to grow and reimagine themselves by becoming advocates and champions for their Customers. With deep heritage and expertise in retail - one of the world's most competitive markets, with a deluge of multi-dimensional data - dunnhumby today enables businesses all over the world, across …",46258.99,46258.99,Unknown,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5436322157?se=0Je9c9rQ8BGvcJ2b2eIshg&utm_medium=api&utm_source=a4dbb817&v=070ED3E8B0D832F423B32A797BD6B5B4CC227253
60,Director of Data Science - Servicing,Director of Data Science - Servicing,Wise,"London, UK",2025-10-26T13:20:50Z,"Company Description Wise is a global technology company, building the best way to move and manage the world’s money. Min fees. Max ease. Full speed. Whether people and businesses are sending money to another country, spending abroad, or making and receiving international payments, Wise is on a mission to make their lives easier and save them money. As part of our team, you will be helping us create an entirely new network for the worlds money. For everyone, everywhere. Job Description We’re loo…",101276.72,101276.72,Unknown,full_time,https://www.adzuna.co.uk/jobs/land/ad/5465325492?se=0Je9c9rQ8BGvcJ2b2eIshg&utm_medium=api&utm_source=a4dbb817&v=4C36627E14E40952D91DF80FA75C4A0AB3F12BF3
61,Principal Software Engineer,Principal Software Engineer,TPXImpact Holdings Plc,"Whitechapel, East London",2025-12-02T00:43:09Z,"About The Role Deadline for applications: 11:59pm on 31st October 2025 Were looking for a Principal Software Engineer to shape the technical direction of high-profile projects and lead the delivery of modern, scalable software. We use technology to create impactful, human-centred solutions that make a difference to users and organisations. We believe great engineering happens when teams collaborate, learn, and build with purpose. Youll provide hands-on technical leadership, working closely with…",85000.0,85000.0,permanent,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5523264516?se=XsKudNrQ8BGFUab2JCqmUQ&utm_medium=api&utm_source=a4dbb817&v=C0B8BC50D091CE3F2037C10CC2D9616386886376
62,Director of Software Engineering,Director of Software Engineering,Capital One UK,"London, UK",2025-10-30T14:24:11Z,"Job Description White Collar Factory (95009), United Kingdom, London, London Director of Software Engineering About this role We are looking for a Director of Software Engineering to lead a team of 100 engineers. We’re looking for someone who is results-oriented, able to partner with business leaders and go toe-to-toe with the best engineers on technical rigour. You’ll be responsible for all the technologists within a series of our ‘outcome teams’: established to drive forward business outcomes…",91858.03,91858.03,permanent,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5471317251?se=XsKudNrQ8BGFUab2JCqmUQ&utm_medium=api&utm_source=a4dbb817&v=C064AE380B1C78E913214C5ECA41BB6B2EEA3AD9
63,Simulation Software Engineer,Simulation Software Engineer,Holt Executive Ltd,"London, UK",2025-12-01T09:51:25Z,"A growing space engineering team in the UK is seeking a Simulation Software Engineer to support the development of high-fidelity spacecraft simulators used for mission design, verification, and operations. Youll work alongside software and aerospace engineers to develop simulation tools, integrate flight software, and ensure robust, reliable simulator performance for upcoming spacecraft missions.= What Youll Do Design, implement, and test spacecraft simulators as part of a multidisciplinary eng…",85000.0,85000.0,permanent,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5520967379?se=XsKudNrQ8BGFUab2JCqmUQ&utm_medium=api&utm_source=a4dbb817&v=AAE19C5A8CB4757421CCC29EE084ED506C15E32B
64,Electronic and Software Engineer,Electronic and Software Engineer,Zebra Technical Recruitment Ltd,"London, UK",2025-11-25T21:40:25Z,"Electronic & Software Design Engineer Technical Area: Analogue Design, Microcontroller programming, DFM, Low Power, Altium The Company This successful company designs and manufactures electromechanical detection devices for safety-critical industrial environments. The products are low-power, intrinsically safe, and designed to withstand fire and explosions in harsh environments such as those within the oil and gas industry. All products are manufactured on-site and distributed globally. The Job…",55979.62,55979.62,permanent,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5513744789?se=XsKudNrQ8BGFUab2JCqmUQ&utm_medium=api&utm_source=a4dbb817&v=DF26498A54D4440E3D35AF106518FA7D59A6F17E
65,Python Software Engineer - Fintech,Python Software Engineer - Fintech,Run-Time Group Ltd,"London, UK",2025-11-28T09:34:22Z,"A Mid Level Python Engineer is required to join a Fintech company developing next generation tools for how companies get funding and optimise their working capital. Our client aims to change how corporate finance works, by replacing static, limited and often stale financial metrics with live data-driven insights sourced from direct connections to their clients systems. You will be joining a strong team of Python Engineers, Data Scientists, and financial experts, who are building the next genera…",63253.21,63253.21,permanent,Unknown,https://www.adzuna.co.uk/jobs/land/ad/5517490648?se=XsKudNrQ8BGFUab2JCqmUQ&utm_medium=api&utm_source=a4dbb817&v=651BB491A658DCC779E6B7BA00518419E254F07D
66,Software Engineer,Software Engineer,G-Research,"London, UK",2025-11-15T20:25:23Z,"We tackle the most complex problems in quantitative finance, by bringing scientific clarity to financial complexity. From our London HQ, we unite world-class researchers and engineers in an environment that values deep exploration and methodical execution - because the best ideas take time to evolve. Together we’re building a world-class platform to amplify our teams’ most powerful ideas. As part of our engineering team, you’ll shape the platforms and tools that drive high-impact research - des…",53115.76,53115.76,Unknown,full_time,https://www.adzuna.co.uk/jobs/land/ad/5498262127?se=XsKudNrQ8BGFUab2JCqmUQ&utm_medium=api&utm_source=a4dbb817&v=EDD1ACB8CCCDD4FFBEEFFCB148B5BCF6A615AA07
67,Software Engineer,Software Engineer,G-Research,"London, UK",2025-11-03T12:48:48Z,"We tackle the most complex problems in quantitative finance, by bringing scientific clarity to financial complexity. From our London HQ, we unite world-class researchers and engineers in an environment that values deep exploration and methodical execution - because the best ideas take time to evolve. Together we’re building a world-class platform to amplify our teams’ most powerful ideas. As part of our engineering team, you’ll shape the platforms and tools that drive high-impact research - des…",84145.72,84145.72,Unknown,full_time,https://www.adzuna.co.uk/jobs/land/ad/5478107318?se=XsKudNrQ8BGFUab2JCqmUQ&utm_medium=api&utm_source=a4dbb817&v=BA31846619EA98A51AF8CB7A169574E959FFF8F3
68,Software Engineer,Software Engineer,Zopa Bank,"London, UK",2025-10-13T12:06:41Z,"We started our journey back in 2005, building the first ever peer-to-peer lending company. Fast forward to 2020 and we launched Zopa Bank. A bank that listens to what our customers don’t like about finance and does the opposite. We’re redefining what it feels like to work in finance. Our vision for a new era of banking puts people front and centre — we’ve built a business that empowers everyone to aim high, every day, to move finance forward. We’re incredibly proud of our achievements and none …",59347.49,59347.49,Unknown,full_time,https://www.adzuna.co.uk/jobs/land/ad/5445371605?se=XsKudNrQ8BGFUab2JCqmUQ&utm_medium=api&utm_source=a4dbb817&v=3F53E3D32BEE21F1BA49FE9D0CF323CF80E4963B
